Bin Code;Item No.;Lot No.;Inventory;ilosc;opis
27-D;200347;LOT1001441;56;1;LWL-KL FC-PC/SC-PC 9/125 25m
27-D;200348;LOT1000540;51;1;LWL-KL SC-PC/LC-PC 9/125 25m
27-D;200752;LOT1001445;4;1;"LWL-KL LC-PC/SC-APC 9/125um; 25m"
27-D;201561;LOT1007575;111;1;Profil 1490-41 d�ugo�� 3,5m p�produkt --> 201572 (finalny)
27-D;201572;LOT1007750;888;1;Przer�bka komponentu 201561
27-D;201572;LOT1007755;12;1;Przer�bka komponentu 201561
27-D;519007;BLOT101252;28;1;LWL-KL LC-PC/ST 50/125um 40m
27-D;519028;BLOT101254;42;1;LWL-KL FC-PC/LC-APC 9/125 20m
27-D;519033;LOT1003554;36;1;LWL-KL LC-PC/ST-PC 50/125 25m
27-D;519033;LOT1004849;10;1;LWL-KL LC-PC/ST-PC 50/125 25m
28-A;200400;LOT1007900;1;1;V9YF*FO-CB LC/PC-LC/PC 35m
28-A;512582;LOT1007902;5;1;LWL-KL FC-PC/FC-PC 9/125um 20m
28-A;512991;LOT1007440;1;1;LWL-KL LC-PC/FC-PC 9/125um 15M
28-A;512991;LOT1007903;5;1;LWL-KL LC-PC/FC-PC 9/125um 15M
28-A;515387;LOT1006873;2;1;LWL-KL LC-PC/FC-PC 9/125um 35m
28-A;517432;LOT1004843;1;1;LWL-KL LC-PC/SC-APC 9/125um20m
28-A;519059;LOT1007027;2;1;LWL-KL LC-PC/ST 50/125um 35m
